Bnccindx,Calculation1,Category,Date
51.3098,Economic Mood Index,British Columbia,3/15/2019
52.1644,Economic Mood Index,British Columbia,3/22/2019
52.2122,Economic Mood Index,British Columbia,3/29/2019
53.0463,Economic Mood Index,British Columbia,4/5/2019
52.7459,Economic Mood Index,British Columbia,4/12/2019
53.1268,Economic Mood Index,British Columbia,4/19/2019
52.6949,Economic Mood Index,British Columbia,4/26/2019
51.8524,Economic Mood Index,British Columbia,5/3/2019
50.5303,Economic Mood Index,British Columbia,5/10/2019
51.2146,Economic Mood Index,British Columbia,5/17/2019
52.1215,Economic Mood Index,British Columbia,5/24/2019
51.0966,Economic Mood Index,British Columbia,5/31/2019
52.2898,Economic Mood Index,British Columbia,6/7/2019
52.9557,Economic Mood Index,British Columbia,6/14/2019
50.9056,Economic Mood Index,British Columbia,6/21/2019
53.5462,Economic Mood Index,British Columbia,6/28/2019
55.2802,Economic Mood Index,British Columbia,7/5/2019
55.6079,Economic Mood Index,British Columbia,7/12/2019
58.139,Economic Mood Index,British Columbia,7/19/2019
58.3379,Economic Mood Index,British Columbia,7/26/2019
57.36,Economic Mood Index,British Columbia,8/2/2019
57.4828,Economic Mood Index,British Columbia,8/9/2019
57.0969,Economic Mood Index,British Columbia,8/16/2019
55.7187,Economic Mood Index,British Columbia,8/23/2019
55.2121,Economic Mood Index,British Columbia,8/30/2019
54.179,Economic Mood Index,British Columbia,9/6/2019
54.7985,Economic Mood Index,British Columbia,9/13/2019
54.9154,Economic Mood Index,British Columbia,9/20/2019
55.0303,Economic Mood Index,British Columbia,9/27/2019
56.8351,Economic Mood Index,British Columbia,10/4/2019
56.5055,Economic Mood Index,British Columbia,10/11/2019
55.9969,Economic Mood Index,British Columbia,10/18/2019
56.4289,Economic Mood Index,British Columbia,10/25/2019
54.9996,Economic Mood Index,British Columbia,11/1/2019
54.8732,Economic Mood Index,British Columbia,11/8/2019
55.5656,Economic Mood Index,British Columbia,11/15/2019
51.9301,Economic Mood Index,British Columbia,11/22/2019
53.3362,Economic Mood Index,British Columbia,11/29/2019
52.2653,Economic Mood Index,British Columbia,12/6/2019
51.787,Economic Mood Index,British Columbia,12/13/2019
52.859,Economic Mood Index,British Columbia,12/20/2019
54.8887,Economic Mood Index,British Columbia,12/27/2019
56.2386,Economic Mood Index,British Columbia,1/3/2020
57.1535,Economic Mood Index,British Columbia,1/10/2020
55.2226,Economic Mood Index,British Columbia,1/17/2020
55.2614,Economic Mood Index,British Columbia,1/24/2020
54.5086,Economic Mood Index,British Columbia,1/31/2020
55.3565,Economic Mood Index,British Columbia,2/7/2020
56.5453,Economic Mood Index,British Columbia,2/14/2020
53.4998,Economic Mood Index,British Columbia,2/21/2020
51.5579,Economic Mood Index,British Columbia,2/28/2020
51.4203,Economic Mood Index,British Columbia,3/6/2020
51.4046,Economic Mood Index,British Columbia,3/13/2020
48.659,Economic Mood Index,British Columbia,3/20/2020
44.0059,Economic Mood Index,British Columbia,3/27/2020
41.7464,Economic Mood Index,British Columbia,4/3/2020
36.0567,Economic Mood Index,British Columbia,4/10/2020
35.1942,Economic Mood Index,British Columbia,4/17/2020
34.4119,Economic Mood Index,British Columbia,4/24/2020
34.84,Economic Mood Index,British Columbia,5/1/2020
38.39,Economic Mood Index,British Columbia,5/8/2020
36.94,Economic Mood Index,British Columbia,5/15/2020
40.91,Economic Mood Index,British Columbia,5/22/2020
40.43,Economic Mood Index,British Columbia,5/29/2020
42.2,Economic Mood Index,British Columbia,6/5/2020
45.49,Economic Mood Index,British Columbia,6/12/2020
46.06,Economic Mood Index,British Columbia,6/19/2020
45.39,Economic Mood Index,British Columbia,6/26/2020
45.85,Economic Mood Index,British Columbia,7/3/2020
45.73,Economic Mood Index,British Columbia,7/10/2020
46.79,Economic Mood Index,British Columbia,7/17/2020
49.18,Economic Mood Index,British Columbia,7/24/2020
49.2,Economic Mood Index,British Columbia,7/31/2020
50.69,Economic Mood Index,British Columbia,8/7/2020
49.82,Economic Mood Index,British Columbia,8/14/2020
51.54,Economic Mood Index,British Columbia,8/21/2020
51.04,Economic Mood Index,British Columbia,8/28/2020
51.11,Economic Mood Index,British Columbia,9/4/2020
51.48,Economic Mood Index,British Columbia,9/11/2020
52.13,Economic Mood Index,British Columbia,9/18/2020
52.92,Economic Mood Index,British Columbia,9/25/2020
53.37,Economic Mood Index,British Columbia,10/2/2020
53.42,Economic Mood Index,British Columbia,10/9/2020
