date_recovered,province,cumulative_recovered
04-06-2020,Alberta,6611.0
03-06-2020,Alberta,6587.0
02-06-2020,Alberta,6537.0
01-06-2020,Alberta,6501.0
31-05-2020,Alberta,6283.0
30-05-2020,Alberta,6245.0
29-05-2020,Alberta,6220.0
28-05-2020,Alberta,6160.0
27-05-2020,Alberta,6106.0
26-05-2020,Alberta,6048.0
25-05-2020,Alberta,5979.0
24-05-2020,Alberta,5924.0
23-05-2020,Alberta,5869.0
22-05-2020,Alberta,5801.0
21-05-2020,Alberta,5710.0
20-05-2020,Alberta,5637.0
19-05-2020,Alberta,5584.0
18-05-2020,Alberta,5519.0
17-05-2020,Alberta,5453.0
16-05-2020,Alberta,5377.0
15-05-2020,Alberta,5317.0
14-05-2020,Alberta,5205.0
13-05-2020,Alberta,5076.0
12-05-2020,Alberta,4866.0
11-05-2020,Alberta,4659.0
10-05-2020,Alberta,4389.0
09-05-2020,Alberta,4204.0
08-05-2020,Alberta,4020.0
07-05-2020,Alberta,3809.0
06-05-2020,Alberta,3552.0
05-05-2020,Alberta,3219.0
04-05-2020,Alberta,2942.0
03-05-2020,Alberta,2713.0
02-05-2020,Alberta,2534.0
01-05-2020,Alberta,2359.0
30-04-2020,Alberta,2161.0
29-04-2020,Alberta,1953.0
28-04-2020,Alberta,1800.0
27-04-2020,Alberta,1664.0
26-04-2020,Alberta,1549.0
25-04-2020,Alberta,1471.0
24-04-2020,Alberta,1397.0
23-04-2020,Alberta,1357.0
22-04-2020,Alberta,1310.0
21-04-2020,Alberta,1273.0
20-04-2020,Alberta,1230.0
19-04-2020,Alberta,1198.0
18-04-2020,Alberta,1162.0
17-04-2020,Alberta,1124.0
16-04-2020,Alberta,914.0
15-04-2020,Alberta,914.0
14-04-2020,Alberta,914.0
13-04-2020,Alberta,877.0
12-04-2020,Alberta,823.0
11-04-2020,Alberta,774.0
10-04-2020,Alberta,713.0
09-04-2020,Alberta,592.0
08-04-2020,Alberta,519.0
07-04-2020,Alberta,447.0
06-04-2020,Alberta,361.0
05-04-2020,Alberta,279.0
04-04-2020,Alberta,196.0
03-04-2020,Alberta,196.0
02-04-2020,Alberta,174.0
01-04-2020,Alberta,142.0
31-03-2020,Alberta,120.0
30-03-2020,Alberta,94.0
29-03-2020,Alberta,73.0
28-03-2020,Alberta,53.0
27-03-2020,Alberta,33.0
26-03-2020,Alberta,27.0
25-03-2020,Alberta,3.0
24-03-2020,Alberta,3.0
23-03-2020,Alberta,3.0
22-03-2020,Alberta,3.0
21-03-2020,Alberta,3.0
20-03-2020,Alberta,3.0
19-03-2020,Alberta,2.0
18-03-2020,Alberta,0.0
17-03-2020,Alberta,0.0
16-03-2020,Alberta,0.0
15-03-2020,Alberta,0.0
14-03-2020,Alberta,0.0
13-03-2020,Alberta,0.0
12-03-2020,Alberta,0.0
11-03-2020,Alberta,0.0
10-03-2020,Alberta,0.0
09-03-2020,Alberta,0.0
08-03-2020,Alberta,0.0
07-03-2020,Alberta,0.0
06-03-2020,Alberta,0.0
05-03-2020,Alberta,0.0
04-03-2020,Alberta,
03-03-2020,Alberta,
02-03-2020,Alberta,
01-03-2020,Alberta,
29-02-2020,Alberta,
28-02-2020,Alberta,
27-02-2020,Alberta,
26-02-2020,Alberta,
25-02-2020,Alberta,
24-02-2020,Alberta,
23-02-2020,Alberta,
22-02-2020,Alberta,
21-02-2020,Alberta,
20-02-2020,Alberta,
19-02-2020,Alberta,
18-02-2020,Alberta,
17-02-2020,Alberta,
16-02-2020,Alberta,
15-02-2020,Alberta,
14-02-2020,Alberta,
13-02-2020,Alberta,
12-02-2020,Alberta,
22-01-2021,BC,56455.0
21-01-2021,BC,56010.0
20-01-2021,BC,55564.0
19-01-2021,BC,55099.0
18-01-2021,BC,54656.0
17-01-2021,BC,53115.0
16-01-2021,BC,53115.0
15-01-2021,BC,53115.0
14-01-2021,BC,52605.0
13-01-2021,BC,51893.0
12-01-2021,BC,51144.0
11-01-2021,BC,50541.0
10-01-2021,BC,48205.0
09-01-2021,BC,48205.0
08-01-2021,BC,48205.0
07-01-2021,BC,47374.0
06-01-2021,BC,46728.0
05-01-2021,BC,45999.0
04-01-2021,BC,45229.0
03-01-2021,BC,42129.0
02-01-2021,BC,42129.0
01-01-2021,BC,42129.0
31-12-2020,BC,42129.0
30-12-2020,BC,41681.0
29-12-2020,BC,41175.0
28-12-2020,BC,37784.0
27-12-2020,BC,37784.0
26-12-2020,BC,37784.0
25-12-2020,BC,37784.0
24-12-2020,BC,37784.0
23-12-2020,BC,36952.0
22-12-2020,BC,36094.0
21-12-2020,BC,35455.0
20-12-2020,BC,33589.0
19-12-2020,BC,33589.0
18-12-2020,BC,33589.0
17-12-2020,BC,32963.0
16-12-2020,BC,32376.0
15-12-2020,BC,31866.0
14-12-2020,BC,31207.0
13-12-2020,BC,29598.0
12-12-2020,BC,29598.0
11-12-2020,BC,29598.0
10-12-2020,BC,28948.0
09-12-2020,BC,28448.0
08-12-2020,BC,27897.0
07-12-2020,BC,27287.0
06-12-2020,BC,25658.0
05-12-2020,BC,25658.0
04-12-2020,BC,25658.0
03-12-2020,BC,24928.0
02-12-2020,BC,24424.0
01-12-2020,BC,23774.0
30-11-2020,BC,23111.0
29-11-2020,BC,21304.0
28-11-2020,BC,21304.0
27-11-2020,BC,21304.0
26-11-2020,BC,19998.0
25-11-2020,BC,19814.0
24-11-2020,BC,19605.0
23-11-2020,BC,19069.0
22-11-2020,BC,17477.0
21-11-2020,BC,17477.0
20-11-2020,BC,17477.0
19-11-2020,BC,17207.0
18-11-2020,BC,16914.0
17-11-2020,BC,16469.0
16-11-2020,BC,16087.0
15-11-2020,BC,14901.0
14-11-2020,BC,14901.0
13-11-2020,BC,14901.0
12-11-2020,BC,14089.0
11-11-2020,BC,13704.0
10-11-2020,BC,13704.0
09-11-2020,BC,13425.0
08-11-2020,BC,13035.0
07-11-2020,BC,13035.0
06-11-2020,BC,13035.0
05-11-2020,BC,12806.0
04-11-2020,BC,12659.0
03-11-2020,BC,12430.0
02-11-2020,BC,12207.0
01-11-2020,BC,11670.0
31-10-2020,BC,11670.0
30-10-2020,BC,11670.0
29-10-2020,BC,11448.0
28-10-2020,BC,11244.0
27-10-2020,BC,10954.0
26-10-2020,BC,10734.0
25-10-2020,BC,10247.0
24-10-2020,BC,10247.0
23-10-2020,BC,10247.0
22-10-2020,BC,10114.0
21-10-2020,BC,9993.0
20-10-2020,BC,9871.0
19-10-2020,BC,9753.0
18-10-2020,BC,9387.0
17-10-2020,BC,9387.0
16-10-2020,BC,9387.0
15-10-2020,BC,9257.0
14-10-2020,BC,9112.0
13-10-2020,BC,8974.0
12-10-2020,BC,8502.0
11-10-2020,BC,8502.0
10-10-2020,BC,8502.0
