"address_code","address","region","province","healthregion","lon","lat"
"Sudbury, Ontario","Sudbury, Ontario","Sudbury","Ontario","Sudbury, Ontario",-80.993029,46.4917317
"Terres-Cries-de-la-Baie-James, Quebec","Terres-Cries-de-la-Baie-James, Quebec","Terres-Cries-de-la-Baie-James","Quebec","Terres-Cries-de-la-Baie-James, Quebec",-73.5574142,45.4972349
"Thunder Bay, Ontario","Thunder Bay, Ontario","Thunder Bay","Ontario","Thunder Bay, Ontario",-89.2476823,48.3808951
"Timiskaming, Ontario","Timiskaming, Ontario","Timiskaming","Ontario","Timiskaming, Ontario",-80.3194903,47.8308027
"Toronto, Ontario","Toronto, Ontario","Toronto","Ontario","Toronto, Ontario",-79.3831843,43.653226
"Vancouver Coastal, British Columbia","Vancouver Coastal, British Columbia","Vancouver Coastal","British Columbia","Vancouver Coastal, British Columbia",-123.1207375,49.2827291
"Waterloo, Ontario","Waterloo, Ontario","Waterloo","Ontario","Waterloo, Ontario",-80.5204096,43.4642578
"Wellington Dufferin Guelph, Ontario","Wellington Dufferin Guelph, Ontario","Wellington Dufferin Guelph","Ontario","Wellington Dufferin Guelph, Ontario",-80.233717,43.524905
"Western, Newfoundland & Labrador","Western, Newfoundland & Labrador","Western","Newfoundland & Labrador","Western, Newfoundland & Labrador",-57.9436708,48.9548346
"Windsor-Essex, Ontario","Windsor-Essex, Ontario","Windsor-Essex","Ontario","Windsor-Essex, Ontario",-83.0363633,42.3149367
"Winnipeg, Manitoba","Winnipeg, Manitoba","Winnipeg","Manitoba","Winnipeg, Manitoba",-97.1383744,49.895136
"York, Ontario","York, Ontario","York","Ontario","York, Ontario",-79.4503544,43.6956787
"Yukon, Canada","Yukon, Canada","Not Reported","Yukon","Not Reported, Yukon",-135,64.2823274
"Zone 1 - Western, Nova Scotia","Zone 1 - Western, Nova Scotia","Zone 1 - Western","Nova Scotia","Zone 1 - Western, Nova Scotia",-64.314502,44.531403
"Zone 1 (Moncton area), New Brunswick","Zone 1 (Moncton area), New Brunswick","Zone 1 (Moncton area)","New Brunswick","Zone 1 (Moncton area), New Brunswick",-64.7928921,46.1080479
"Zone 2 - Northern, Nova Scotia","Zone 2 - Northern, Nova Scotia","Zone 2 - Northern","Nova Scotia","Zone 2 - Northern, Nova Scotia",-63.744311,44.6819866
"Zone 2 (Saint John area), New Brunswick","Zone 2 (Saint John area), New Brunswick","Zone 2 (Saint John area)","New Brunswick","Zone 2 (Saint John area), New Brunswick",-66.0340003,45.2797026
"Zone 3 - Eastern, Nova Scotia","Zone 3 - Eastern, Nova Scotia","Zone 3 - Eastern","Nova Scotia","Zone 3 - Eastern, Nova Scotia",-62.4671922,45.1245645
"Zone 3 (Fredericton area), New Brunswick","Zone 3 (Fredericton area), New Brunswick","Zone 3 (Fredericton area)","New Brunswick","Zone 3 (Fredericton area), New Brunswick",-66.6444575,45.9550674
"Zone 4 - Central, Nova Scotia","Zone 4 - Central, Nova Scotia","Zone 4 - Central","Nova Scotia","Zone 4 - Central, Nova Scotia",-63.744311,44.6819866
"Zone 4 (Edmundston area), New Brunswick","Zone 4 (Edmundston area), New Brunswick","Zone 4 (Edmundston area)","New Brunswick","Zone 4 (Edmundston area), New Brunswick",-68.3266741,47.3690127
"Zone 5 (Campbellton area), New Brunswick","Zone 5 (Campbellton area), New Brunswick","Zone 5 (Campbellton area)","New Brunswick","Zone 5 (Campbellton area), New Brunswick",-66.6722057,48.007399
"Zone 6 (Bathurst area), New Brunswick","Zone 6 (Bathurst area), New Brunswick","Zone 6 (Bathurst area)","New Brunswick","Zone 6 (Bathurst area), New Brunswick",-65.6513358,47.6183507
"Zone 7 (Miramichi area), New Brunswick","Zone 7 (Miramichi area), New Brunswick","Zone 7 (Miramichi area)","New Brunswick","Zone 7 (Miramichi area), New Brunswick",-65.5059061,47.0295709
